,episode_number,Episode_title,description,Episode_runtime,Released_on
21,1122,Cancelled Cricket,Tapu and his friends play cricket in the society and give everyone a hard time. Everyone gathers and decides to cancel cricket. But will Tapu Sena agree to this?,18 mins,26 Mar 2020
22,1123,Decision Of The Society,Tarak scolds everyone for acting like children and calling an unofficial meeting to discuss the problem. Everyone decides that the children should not play cricket until the society decides to let them.,18 mins,26 Mar 2020
23,1124,Daya Defends The Children,Daya and the ladies to go to have some street food and run into a lady who talks against the kids. Daya defends the kids and explains what a bliss they are.,18 mins,26 Mar 2020
24,1125,Iyer Trash Talks Jetha,"Bhide and the others wait for Jetha and Taarak so that they can get done with the meeting. Iyer tells everyone not to trust Jetha as he might have gone to drink soda with Taarak. Finally, they get to the discussion.",20 mins,26 Mar 2020
25,1126,Tapu Sena On A Mango Mission,Tapu Sena break into a grove to pick mangoes. Tapu climbs a tree and starts plucking the mangoes. Will they get out without getting caught?,19 mins,26 Mar 2020
26,1127,Tapu Sena Gets Caught,Tapu Sena gets caught after breaking into the Mango grove. They try to talk their way out of trouble. The keeper of the grove asks them to bring their parents. Will they let Gogi go without any trouble?,19 mins,26 Mar 2020
27,1128,Jetha Handles The Situation,"Gogi is stuck in the tree and Tapu Sena seeks the society's help to bring back Gogi. Meanwhile, Gogis parents call Jetha to check on Gogi. How will Jetha handle the situation now?",19 mins,26 Mar 2020
28,1129,Jetha And Daya On A Mission,Jetha and Daya visit the grove to talk to the keeper and bring back Gogi. They try to reason with him to get him back. Will Jetha and Daya bring back Gogi?,20 mins,26 Mar 2020
29,1130,Anjali's Plan For Iyer And Babita,Anjali comes up with a plan to save Gogi. Everyone plans to dress up Babita and Iyer as a Punjabi couple and present them to the keeper so that they can bring back Gogi.,20 mins,26 Mar 2020
30,1131,Gogi Ruins The Plan,"Finally, everyone convinces the keeper that Babita and Iyer are the real parents of Gogi. The keeper believes them and agrees to let Gogi go. But Gogi ruins the plan by telling everyone that they managed to fool the keeper in front of the keeper himself.",17 mins,27 Mar 2020
31,1132,The Signature Situation,"Jetha gets a call from Nattu Kaka, who informs him that he has forgotten to sign a cheque. But Jetha informs him that he can't go to the shop now as he has a meeting with a client. How will Jetha handle this situation?",19 mins,27 Mar 2020
32,1133,Daya Apolozies To Jetha,Jetha forgets his file at home because of Daya. He goes back home to get the file and returns to the shop. Jetha reaches the shop and finally signs the cheque. Daya calls Jetha and apolozies to him.,18 mins,27 Mar 2020
33,1134,Iyer Gets Jealous,Iyer calls Babita and she picks up thinking that it was Jetha. Iyer gets jealous and questions her. He then tells her not to wait for his call and that hell handle the situation.,20 mins,27 Mar 2020
34,1135,Babita Looks For Jetha,"Babita waits for Jetha so that she can get the file. But when Babita calls Jetha he tells Nattu Kaka to attend the call. Meanwhile, Baga goes out to search for the file so that Jetha can give the file to Babita.",20 mins,27 Mar 2020
35,1136,Jetha Gets A Card For Babita,Natu Kaka and Baga suggest Jetha get a Sorry card for Babita. Jetha finally finds the note where he had noted down the number. Jetha thanks Daya for her prayers for which he managed to find that note.,18 mins,27 Mar 2020
36,1137,Jetha's Sweet Gesture,Jetha forgets to bring what Champaklal told him to. Jetha hands him the apology card that he had got for Babita. Champaklal shouts at him for getting an over-priced card. Jetha gets Kulfi for everyone. Daya tells Jetha as to how he was being praised by everyone.,18 mins,27 Mar 2020
37,1138,Tapu Fools Jetha And Daya,"Tapu pretends to be Champaklal and Jetha starts explaining himself. Later, Daya and Jetha look for the differences and find out that it was Tapu who tried fooling them. Tapu asks Daya for a favour.",19 mins,27 Mar 2020
38,1139,Tapu Tries To Convince Jethalal,Tapu and Daya convince Jetha to get Tapu a seasoned bat. Jetha refuses to spend a huge amount for a bat. Bhide does not allow Sonu to go out and play with Tapu Sena instead asks her to sit at home and study. Jetha talks to Bhide regarding this.,19 mins,27 Mar 2020
39,1140,Jetha Gets Mad With Excitement,Sonu calls Tapu Sena to help her out but they are locked inside. Jethalal overhears Nattu and Baga's conversation and thinks they have received a big order. Bhide is shocked to find Tapu Sena inside his home.,20 mins,27 Mar 2020
40,1141,Bhide Creates Chaos,Bhide calls everyone and explains them the mistakes Tapu Sena has committed. Champaklal comes and asks Tapu about what exactly happened. He convinces Bhide as to how their way of helping Sonu was wrong but their intention was not.,20 mins,27 Mar 2020
41,1142,Champaklal's Good Old Days,"Jetha finally gets a bat for Tapu and some mangoes for everyone. A guest arrives who happens to be Champaklal's friend. He starts telling Champaklal's stories, as to how brave and naughty he used to be.",19 mins,27 Mar 2020
42,1143,Champaklal Has Decided,Champaklal decides to go to the village. Jetha calls Baga to know if he had got the tickets. Champaklal is shocked to know the highly-priced tickets. He is adamant to go by the railways.,19 mins,27 Mar 2020
43,1144,Jetha Finds A Way,"A customer comes to Jethalals shop who happens to be an agent. Jetha asks him if he can help get him two tickets. Later, that agent gets a call and he informs that all the tickets have been sold out. Champaklal decides to travel by bus.",19 mins,27 Mar 2020
44,1145,The Great Grand Confusion,Jetha gets the tickets by train and Champaklal's friend gets tickets by bus. Baga gets a taxi asks the driver to drop them off at the railway station but Champaklal asks him to drop them off at the bus stop. He shouts at Jetha for getting the tickets at a higher price.,19 mins,27 Mar 2020
45,1146,Daya Gets Romantic,"Daya calls up Jetha to inform him that she won't be cooking anything for dinner. Hence, she asks him to get something packed from outside to have. Daya expresses her love for him. Everyone asks about the trucks that have been parked in the society.",19 mins,27 Mar 2020
46,1147,Jetha Being Accused,Bhide blames for the trucks being parked in society. Daya suspects Sunderlal. Sunderlal denies allegations against him. Jetha and Bhide find someone lying below the truck.,20 mins,27 Mar 2020
47,1148,The Mystery Man,"Bhide and Jetha find out that the man lying below the truck does not belong to the society and is sleeping. Suspecting him to be the truck driver, they try to wake him up.",18 mins,27 Mar 2020
48,1149,Champaklal Goes Insane,Everyone asks Jetha to call Natu and Baga to confirm if the trucks belong to them. They deny getting any trucks parked in Gokuldham Society. Champaklal shouts on top of his voice and asks who is the one doing this. Jetha finds Iyers name written on a canvas bag.,19 mins,27 Mar 2020
49,1150,Bollywoods Muscle Man In Society,"Daya checks the second truck only to find cartons of apples. Jetha cracks the riddle and tells everyone that superstar Dharmendra is the one who has sent the truck full of goods for them. Finally, the truck is unloaded.",37 mins,27 Mar 2020
50,1151,Dharam Garam Interacts,"Dharmendra interacts with everyone and praises them. Daya asks him if he wants to have anything, she would prepare any cuisine for him. They discuss all the movies he has worked in.",20 mins,27 Mar 2020
51,1152,The Mystery Unfolds,They discuss the trucks that had come to deliver the goods. Gokuldham society praises Dharmendra for his work and contribution to Bollywood. Police tell he has to arrest Jetha for creating all the confusion.,19 mins,27 Mar 2020
52,1153,Mr,Mr. and Mrs. Sodhi are back. Daya asks them to have lunch and then leave for their home. The Sodhis are surprised to see that the house is cleaned and decorated by all the ladies of Gokuldham. Tapu Sena is worried about the result.,19 mins,27 Mar 2020
53,1154,Dreams And Imagination,"All the parents dream about their kids achieving their goals. Daya panics and asks Jetha to go out as she feels there could be an earthquake. Besides results, Jetha is worried about Tapus aim in life.",19 mins,27 Mar 2020
54,1155,Taarak Counsels Jetha -,Taarak explains Jetha as to how it is important to take results lightly and scolding thee kids is not the solution. Daya messes up with the food that she prepared. Goli tells how kids these days know how to achieve their goals in life.,20 mins,27 Mar 2020
55,1156,Daya Interrupts Jetha,"Jetha is about to leave for his shop, meets Babita in the compound. Daya calls out to Jetha from the balcony to which Jetha becomes furious. Later, Daya tells Jetha how he is wearing a shirt with a hole.",18 mins,27 Mar 2020
56,1157,Daya Scares Popatlal,"Popatlal wishes the kids all the very best so that they get good marks. He is about to step down when Daya stops him saying that a cat has just crossed that path and that he should not be walking down the same path. Jetha asks Daya about the result, Daya scares him as well as explains to him about it.",19 mins,27 Mar 2020
57,1158,Bhide Is All Praises,Everyone thanks Bhide for being a good teacher. Popatlal asks Bhide if he has given more attention to Sonu. Gokuldham society plans for a celebration for Bhide. Jetha informs Taarak about Tapus result.,18 mins,27 Mar 2020
58,1159,The Coaching Scam,Jethalal reaches a coaching institute where he finds Sonus photo. They claim Sonu as their student for which she has topped in her school. The coaching head tells Jetha as to how Sonu was getting private tuition.,15 mins,27 Mar 2020
59,1160,Jetha Is Furious With Bhide,Jetha thinks Bhide has lied to him. Jetha decides to inform everyone about this at the party. He thinks of sharing this with Taarak first but waits for the right moment.,18 mins,27 Mar 2020
60,1161,Jethalal Is Upset,Jetha is still upset with Bhide and has dressed differently. Taarak addresses Bhide and family and praises them. Tapu Sena offers a song to him. Daya asks Jetha if he is upset.,18 mins,27 Mar 2020
61,1162,Iyer Praises Bhide,Iyer says Bhide makes him remember Subramanium and thanks him for all the efforts. Taarak asks Jetha about the surprise he was about to give. Jetha waits for the right moment.,18 mins,27 Mar 2020
62,1163,Jethalal Reveals The Truth,"Jetha accuses Bhide of being selfish. He shouts at Bhide as to why he sent Sonu to the private tuition, without letting others know about this. Bhide tries to clear the false allegations against him.",19 mins,27 Mar 2020
63,1164,Bhides House Locked,Taarak and friends reach Bhides place only to find his house locked. Champaklal asks everyone to call Bhide and check on him. Tapu Sena stands with Bhide and ask to join them. Everyone finds Sonus photo in the coaching centre.,18 mins,27 Mar 2020
64,1165,Coaching Head Threatens Bhide,Bhide is threatened to not reveal the truth to anyone. Coaching head comes out and traps Bhide in false accusations. Bhide tells Madhvi and Sonu about how that teacher tricked him and has threatened him.,19 mins,27 Mar 2020
65,1166,Gokuldhams Unity,Gokuldham comes to the police station to file an FIR against the coaching center. Jethalal presents proof to the police and the police decide to take action against him. Jetha's phone is damaged before further proceedings.,16 mins,27 Mar 2020
66,1167,Erroneous Proofs,Coaching head presents the proofs. Police talks to the Gokuldham people and says he still needs proof from them to take action against the guilty. Khote thinks of playing mind games with the people of Gokuldham society.,19 mins,27 Mar 2020
67,1168,Daya Blabbers,"Jetha calls Daya and asks for breakfast. Daya tells him that her mother has a name for Jetha. Jetha is furious and asks as why she has a name for him everyday, to which Daya blabbers against Jetha.",19 mins,27 Mar 2020
68,1169,Khote Is Alarmed,Khote gets to know that Bhide has collected all the proofs against him. He receives a call from a well wisher who plans a conspiracy with him. Khote has come to know that Gokuldham has nothing against him and were trying to fool him.,19 mins,27 Mar 2020
69,1170,Daya Has A Suggestion,Daya tells Jetha that her mother has a solution to all the problems.atu kaka and Baga overhears Iyers conversation with the auto driver and think of informing Jetha about this right away. Jetha asks them to keep an eye on Iyers intentions.,16 mins,27 Mar 2020
70,1171,Cricket Andolan,Nattu Kaka and Bagha inform Jethalal about a suspicious person whom they saw entering in Khote Classes. Jethalal comes up with an interesting idea and Daya supports him. Tapu Sena too comes up with an interesting idea. Will Bagha and Nattu Kaka succeed in finding the spy?,20 mins,27 Mar 2020
71,1172,Popatlal Causes Trouble,Popatlal lands in deep trouble - Popatlal reveals to Khote that he has to teach an unforgettable lesson to all the members of Gokuldham society who are making fun of him as he is still unmarried. Khote assures Popatlal that he will not drag him in Bhides court case,19 mins,27 Mar 2020
72,1173,The Anger,Popatlal sends a shocking video clip - Popatlal finds a safer place in the Gokuldham society to hide. Gokuldham Society members get anger with Popatlal. Popatlal sends a shocking video clip to all the members of Gokuldham society.,20 mins,27 Mar 2020
73,1174,Jetha Praises Bhide,"The members of Gokuldham society decide to felicitate Bhide and Taarak tells everyone how good of a person and a friend he is. Just as Taarak is speaking, Jetha gets up and requests that he wants to say something about Bhide and his friendship.",19 mins,27 Mar 2020
74,1175,Daya Plays Peek-A-Boo,Daya hides near the bed and asks Jetha to find her. She gets romantic with Jetha. She makes him wear a raincoat to prevent getting drenched in the rain. Everyone gets into a fight for the rickshaw.,20 mins,27 Mar 2020
75,1176,Dance In The Rain,"All the ladies of Gokuldham dance happily in the rain. Champaklal spots them, Daya makes an excuse. He taunts them as he has seen them dancing. Jethalal forgets to wear his shirt. Everyone discusses their good old romantic days.",20 mins,27 Mar 2020
76,1177,Jetha Splattered With Mud,Champaklal screams looking at Jethas condition. He asks him to go out and get it cleaned before he enters the house. Iyer clicks a photo of Jetha cleaning his body and tells him that he will be showing this to everyone in the society.,20 mins,27 Mar 2020
77,1178,Anjali Is Suspicious,"Taarak comes home late and soon gets a call. Anjali asks him about who is calling him so late. She finds out that he has already had his dinner and didn't even think of informing her about it. Anjali tries to check his phone but he stops her, she asks him the reason.",20 mins,27 Mar 2020
78,1179,Taarak Makes Way For Suspicion,"Anjali asks Taarak to take a bath and he takes his laptop with him. She asks him if he wants to destroy the laptop and tries to take it from him, he runs around with it. Taarak talks to a girl on social media and writes a poetry for her.",20 mins,27 Mar 2020
79,1180,Anjali Breaks Down,"When Daya asks Anjali the reason behind her sadness, she breaks down. Crying, she tells Daya that Taarak has another woman in his life. Daya is shocked and pacifies her.",18 mins,12 Jul 2013
80,1181,Daya Sympathizes With Anjali,"Anjali cries and tells Daya as to how much she loves Taarak. She regrets making him eat all the diet food and less oily food. Daya tells her not to cry and wash her face, she will feel fresh. Anjali overhears Daya and Jetha's conversation that Taarak had lied to Jetha about him being busy with office work.",20 mins,27 Mar 2020
81,1182,Jethalal Lies To Champaklal,Jethalal informs Anjali and Daya that Champaklal has come. He sings a devotional song to impress Champaklal and asks him to come to the balcony if he wants to hear more of it. Anjali sneaks into their home with the help of Daya.,20 mins,27 Mar 2020
82,1183,Jethalal Is Shocked,"Jethalal spots Taarak with a girl. He thinks of confronting him but they went off. He decides to reveal the truth to Champaklal, Anjali and Daya about Taaraks new relationship. Anjali and Jetha tell their part of story to Champaklal.",20 mins,27 Mar 2020
83,1184,The Misconception,"To everyones surprise, Kavita claims Taarak as her brother. Taarak clears the air and reveals the truth as what had exactly happened for which he had to hide all this from everyone. Taarak tells Anjali as how he had trying explaining her about the situation but she didnt pay heed to it.",21 mins,27 Mar 2020
84,1185,Football In Rain,"Tapu asks Jetha for money to buy a football as they want play it during the rain. Jetha refuses and says rather they should be playing cricket. Tapu convinces, Jetha gives in and warns him not to create any nuisance.",20 mins,27 Mar 2020
85,1186,Bhides Carom Skills,Bhide and Popatlal play carom board and Bhide is really good at it. The kids come and appreciate Popatlal for helping them. Tapu informs Jetha that he has given his number to some internet quiz competition.,20 mins,27 Mar 2020
86,1187,Dayas Drama,Daya welcomes Jetha they making him tea and snacks. She acts like a queen and enacts a scene. Jetha joins her in the act.,19 mins,27 Mar 2020
87,1188,The Notice,Bhide and Popatlal inform Tarak and Iyer about the notice received in the society. Everyone is very stressed out and gather for a meeting. What is the notice about?,18 mins,27 Mar 2020
88,1189,No Trespassing,"After the notice was issued, the government places a no trespassing board in front of the society gate. Roshan and the others get furious and start arguing with the workers.",18 mins,27 Mar 2020
89,1190,The Court Case,All the men from Gokuldham return from the police station and head to Taraks place to discuss the situation. They tell Champaklal that the lawyers and asking a hefty fee. How will Gokuldham handle this situation.,19 mins,27 Mar 2020
90,1191,The Terms And Conditions,Champaklal tells the lawyer that he'll somehow arrange the money and give him. The lawyer trusts Champaklal and lays out his terms and conditions. Will they abide by the rules?,41 mins,27 Mar 2020
91,1192,The Super Star,Shah Rukh Khan appears in front of all the people of Gokuldham and everyone is thrilled. All the ladies have fallen for the super star's magic. But the super star doesn't seem too happy to see them.,20 mins,27 Mar 2020
92,1193,The Goodness Of Gokuldham,Shah Rukh Khan reasons with the people of Gokuldham and tries to get them to leave Gokuldham so that he can buy the place. so everyone explains the goodness of Gokuldham and tells him that they wont leave the place no matter what.,22 mins,27 Mar 2020
93,1194,The Dance Off,All the people of Gokuldham dance and celebrate their victory against the super star. Even Shah Rukh Khan dances with them and celebrates.,22 mins,27 Mar 2020
94,1195,Tapu Sena Wins The Quiz,Tapu Sena wins the quiz and the organizers are waiting for them at Jethas house. Tapu Sena are very happy and excited about winning the quiz. Everyone celebrates the occasion.,22 mins,27 Mar 2020
95,1196,Tapu Makes Everyone Proud,All the people of Gokuldham are proud of Tapu for winning the quiz. Tapu and Jetha leave to represent India in the competition in Paris. Tapu and Jetha have a great time in Paris.,20 mins,27 Mar 2020
96,1197,Jetha Fools Around With Tarak,"Daya makes yummy sweets and snacks for Jetha. Tarak visit Jetha's house and Jetha starts fooling around with him. Meanwhile, Tapu and Champaklal have fun in Paris.",20 mins,27 Mar 2020
97,1198,Waiting For Tappus Call,"Jetha and Tappus friends wait for Tapus call from paris. Everyone is worried. Meanwhile, Tapu and Champaklal parade around Paris and represent India in the competition.",20 mins,27 Mar 2020
98,1199,Daya's Surprise,Daya asks Jetha not to go to Office and help her. But Jetha insists on going and come back. But Daya tells him that if he takes a day off she give him a surprise. What is that surprise?,21 mins,27 Mar 2020
99,1200,Champaklal Is Lost,Tappu loses Champaklal and starts searching for him all over Paris. Tappu finally decides to tell Daya about Champaklal missing. How will they find Champaklal?,18 mins,27 Mar 2020
